Professor,Publication Type,Venue,Title,Authors,Year
Andreas Geiger,Journal Article,IEEE Trans. Pattern Anal. Mach. Intell.,KITTI-360: A Novel Dataset and Benchmarks for Urban Scene Understanding in 2D and 3D.,Yiyi Liao;Jun Xie;Andreas Geiger,2023
Andreas Geiger,Journal Article,IEEE Trans. Pattern Anal. Mach. Intell.,Fast-SNARF: A Fast Deformer for Articulated Neural Fields.,Xu Chen;Tianjian Jiang;Jie Song;Max Rietmann;Andreas Geiger;Michael J. Black;Otmar Hilliges,2023
Andreas Geiger,Journal Article,IEEE Trans. Pattern Anal. Mach. Intell.,TransFuser: Imitation With Transformer-Based Sensor Fusion for Autonomous Driving.,Kashyap Chitta;Aditya Prakash;Bernhard Jaeger;Zehao Yu;Katrin Renz;Andreas Geiger,2023
Andreas Geiger,Journal Article,IEEE Trans. Pattern Anal. Mach. Intell.,"Unifying Flow, Stereo and Depth Estimation.",Haofei Xu;Jing Zhang;Jianfei Cai;Hamid Rezatofighi;Fisher Yu;Dacheng Tao;Andreas Geiger,2023
Andreas Geiger,Journal Article,IEEE Trans. Pattern Anal. Mach. Intell.,Towards Scalable Multi-View Reconstruction of Geometry and Materials.,Carolin Schmitt;Bozidar Antic;Neculai Andrei;Joo Ho Lee;Andreas Geiger,2023
Andreas Geiger,Journal Article,ACM Trans. Graph.,MERF: Memory-Efficient Radiance Fields for Real-time View Synthesis in Unbounded Scenes.,Christian Reiser;Richard Szeliski;Dor Verbin;Pratul P. Srinivasan;Ben Mildenhall;Andreas Geiger;Jonathan T. Barron;Peter Hedman,2023
Andreas Geiger,Journal Article,ACM Trans. Graph.,Dictionary Fields: Learning a Neural Basis Decomposition.,Anpei Chen;Zexiang Xu;Xinyue Wei;Siyu Tang;Hao Su;Andreas Geiger,2023
Andreas Geiger,Journal Article,IEEE Trans. Vis. Comput. Graph.,NeRFPlayer: A Streamable Dynamic Scene Representation with Decomposed Neural Radiance Fields.,Liangchen Song;Anpei Chen;Zhong Li;Zhang Chen;Lele Chen;Junsong Yuan;Yi Xu;Andreas Geiger,2023
Andreas Geiger,Conference or Workshop Paper,ICLR,GOOD: Exploring geometric cues for detecting objects in an open world.,Haiwen Huang;Andreas Geiger;Dan Zhang,2023
Andreas Geiger,Conference or Workshop Paper,ICML,StyleGAN-T: Unlocking the Power of GANs for Fast Large-Scale Text-to-Image Synthesis.,Axel Sauer;Tero Karras;Samuli Laine;Andreas Geiger;Timo Aila,2023
